Wallet Address, 0x54809eA74BECdD734d2C4329729835ab39BB23F3
Block No., Local Time, Timestamp [UNIX], Balance [wei]
10676815, 2021-03-09 00:00:00, 1615244400, 0
10693929, 2021-03-10 00:00:00, 1615330800, 43325834327574008628
10711057, 2021-03-11 00:00:00, 1615417200, 173892548389568187429
10728325, 2021-03-12 00:00:00, 1615503600, 304461256194873440224
10745596, 2021-03-13 00:00:00, 1615590000, 435028350262440525178
10762862, 2021-03-14 00:00:00, 1615676400, 565897800803505276468
10780136, 2021-03-15 00:00:00, 1615762800, 696466764491437839953
10797401, 2021-03-16 00:00:00, 1615849200, 827033693330677181340
10814674, 2021-03-17 00:00:00, 1615935600, 956717414529669750515
10831946, 2021-03-18 00:00:00, 1616022000, 1084045136647619777784
10849221, 2021-03-19 00:00:00, 1616108400, 1211385061749271079520
10866490, 2021-03-20 00:00:00, 1616194800, 1338709779962633122865
10883758, 2021-03-21 00:00:00, 1616281200, 1466035490049896167249
10901030, 2021-03-22 00:00:00, 1616367600, 1593360872583168811217
10918308, 2021-03-23 00:00:00, 1616454000, 1720685522842520715644
10935548, 2021-03-24 00:00:00, 1616540400, 1848014425643894474076
10952821, 2021-03-25 00:00:00, 1616626800, 1975340234448265216806
10970090, 2021-03-26 00:00:00, 1616713200, 2102665825900055075249
10987365, 2021-03-27 00:00:00, 1616799600, 2229990523209699861324
11004640, 2021-03-28 00:00:00, 1616886000, 2357315482675793850533
11021196, 2021-03-29 00:00:00, 1616968800, 2479335073003611420314
11038451, 2021-03-30 00:00:00, 1617055200, 2606628890089636189365
11055725, 2021-03-31 00:00:00, 1617141600, 2733334738867303480399
11072995, 2021-04-01 00:00:00, 1617228000, 2860040419764577773130
11090267, 2021-04-02 00:00:00, 1617314400, 2986746058165053222546
11107541, 2021-04-03 00:00:00, 1617400800, 3112573887603467283978
11124805, 2021-04-04 00:00:00, 1617487200, 3236056505792253230746
11142071, 2021-04-05 00:00:00, 1617573600, 3359829613402012150248
11159339, 2021-04-06 00:00:00, 1617660000, 3483312504586618801216
11176602, 2021-04-07 00:00:00, 1617746400, 3606796208791785672466
11193867, 2021-04-08 00:00:00, 1617832800, 3729982953983247186982
11211144, 2021-04-09 00:00:00, 1617919200, 3850823308980599098439
11228417, 2021-04-10 00:00:00, 1618005600, 3971399036777568863824
11245687, 2021-04-11 00:00:00, 1618092000, 4092240966184000796744
11262966, 2021-04-12 00:00:00, 1618178400, 4212787714075181512876
11280235, 2021-04-13 00:00:00, 1618264800, 4333334625497044948052
11297510, 2021-04-14 00:00:00, 1618351200, 4454174668278775335301
11314777, 2021-04-15 00:00:00, 1618437600, 4574729722471980937292
11332039, 2021-04-16 00:00:00, 1618524000, 4695593386931074172138
11349253, 2021-04-17 00:00:00, 1618610400, 4815554873302713580914
11366108, 2021-04-18 00:00:00, 1618696800, 4933468006646760593152
11382975, 2021-04-19 00:00:00, 1618783200, 5051378730962853526158
